sigma_multiplier,leadtime_std_days,total_safety_stock_units,total_annual_holding_cost,median_leadtime_share_of_variance,safety_stock_vs_base
0.0,0.0,484.78521382823953,6118.825723448399,0.0,0.4374554769871049
0.25,0.3546852509154724,552.8109029358652,7206.212073061089,0.0072370750236125814,0.498839796118786
0.5,0.7093705018309449,709.0431487958662,9698.169002067221,0.0283331171962323,0.6398190374074199
0.75,1.0640557527464174,900.9849445198677,12749.614605587622,0.06156884569634843,0.8130214936852095
1.0,1.4187410036618897,1108.193266128726,16033.322096574027,0.1044535161443157,1.0
1.25,1.773426254577362,1323.1516861474236,19430.220496184105,0.15415104005796612,1.1939719601163217
1.5,2.128111505492835,1542.6603911218629,22890.315409433268,0.20787733770424355,1.3920499594000149
2.0,2.8374820073237794,1989.7303113370815,29914.725344198217,0.31812311550674643,1.7954722990583103
