policy,units,units_demanded,units_shipped,units_lost,stockout_days,simulated_days,cycles,cycles_with_stockout,total_safety_stock,mean_on_hand,holding_cost,ordering_cost,total_cost,fill_rate,stockout_day_rate,realised_cycle_service_level
demand_only,40,81269.0,80673.6301757346,595.3698242654023,31,10000,139,25,494.4966479877357,6340.163287844024,45239.07219672778,34750.0,79989.07219672778,0.9926740845308124,0.0031,0.8201438848920863
flat_baseline,40,81269.0,81120.1252051532,148.87479484679693,15,10000,141,14,695.0195078429447,6514.7528155067075,47242.78409772004,35250.0,82492.78409772004,0.9981681232099965,0.0015,0.900709219858156
segmented,40,81269.0,81260.98407759628,8.015922403715734,3,10000,142,3,1122.1625830520802,6915.061756993293,50819.750586727576,35500.0,86319.75058672758,0.9999013655587774,0.0003,0.9788732394366197
