shipping_mode,rows,scheduled_days,observed_mean,observed_std,support,is_degenerate,uniform_chi2,uniform_p_value,reads_as_uniform,late_share
First Class,27814,1.0,2.0,0.0,[2],True,,,False,1.0
Same Day,9737,0.0,0.4782787306151792,0.4995536166339454,"[0, 1]",False,18.376193899558384,1.8130915151637587e-05,False,0.4782787306151792
Second Class,35216,2.0,3.9908280327124035,1.4158996284707053,"[2, 3, 4, 5, 6]",False,2.4725692866878695,0.6495543309738867,True,0.7973080417991822
Standard Class,107752,4.0,3.995907268542579,1.4172657131770885,"[2, 3, 4, 5, 6]",False,12.296811196079885,0.01527532863664632,True,0.3976817135644814
