label,source,is_proxy,rows,mean_days,std_days,mean_weeks,std_weeks,coefficient_of_variation
pooled across shipping modes (sigma x0),"outbound fulfilment time (Days for shipping (real)) used as a stated proxy for replenishment lead time; the extract contains no supplier or purchase order data, standard deviation scaled by 0",True,164572,3.4982317769729967,0.0,0.4997473967104281,0.0,0.0
pooled across shipping modes (sigma x0.25),"outbound fulfilment time (Days for shipping (real)) used as a stated proxy for replenishment lead time; the extract contains no supplier or purchase order data, standard deviation scaled by 0.25",True,164572,3.4982317769729967,0.4059171517754272,0.4997473967104281,0.05798816453934674,0.11603495069919735
pooled across shipping modes (sigma x0.5),"outbound fulfilment time (Days for shipping (real)) used as a stated proxy for replenishment lead time; the extract contains no supplier or purchase order data, standard deviation scaled by 0.5",True,164572,3.4982317769729967,0.8118343035508544,0.4997473967104281,0.11597632907869349,0.2320699013983947
pooled across shipping modes (sigma x0.75),"outbound fulfilment time (Days for shipping (real)) used as a stated proxy for replenishment lead time; the extract contains no supplier or purchase order data, standard deviation scaled by 0.75",True,164572,3.4982317769729967,1.2177514553262816,0.4997473967104281,0.17396449361804023,0.34810485209759207
pooled across shipping modes (sigma x1),"outbound fulfilment time (Days for shipping (real)) used as a stated proxy for replenishment lead time; the extract contains no supplier or purchase order data, standard deviation scaled by 1",True,164572,3.4982317769729967,1.6236686071017088,0.4997473967104281,0.23195265815738697,0.4641398027967894
pooled across shipping modes (sigma x1.25),"outbound fulfilment time (Days for shipping (real)) used as a stated proxy for replenishment lead time; the extract contains no supplier or purchase order data, standard deviation scaled by 1.25",True,164572,3.4982317769729967,2.029585758877136,0.4997473967104281,0.28994082269673377,0.5801747534959868
pooled across shipping modes (sigma x1.5),"outbound fulfilment time (Days for shipping (real)) used as a stated proxy for replenishment lead time; the extract contains no supplier or purchase order data, standard deviation scaled by 1.5",True,164572,3.4982317769729967,2.435502910652563,0.4997473967104281,0.34792898723608046,0.6962097041951841
pooled across shipping modes (sigma x2),"outbound fulfilment time (Days for shipping (real)) used as a stated proxy for replenishment lead time; the extract contains no supplier or purchase order data, standard deviation scaled by 2",True,164572,3.4982317769729967,3.2473372142034176,0.4997473967104281,0.46390531631477394,0.9282796055935788
