segment,planning_unit,cycle_service_level,normal_safety_stock,empirical_safety_stock,difference_units,normal_over_empirical,normal_sigma_ddlt,empirical_sigma_ddlt,empirical_skewness,empirical_excess_kurtosis,empirical_zero_share
AX,Perfect Fitness Perfect Rip Deck,0.8,88.1857535133633,103.83294999999998,15.647196486636687,0.8493041323911467,104.78080874812348,104.5076381735772,0.10480025591179373,-1.0581600032789626,0.0
AX,Perfect Fitness Perfect Rip Deck,0.85,108.59832876471812,123.21945,14.621121235281876,0.8813408010238492,104.78080874812348,104.73374360515325,0.12582433871026028,-1.0467450558909022,0.0
AX,Perfect Fitness Perfect Rip Deck,0.9,134.282009490187,142.3288,8.046790509813007,0.9434633713639614,104.78080874812348,104.75637061973497,0.11855293085680757,-1.0600388845578959,0.0
AX,Perfect Fitness Perfect Rip Deck,0.925,150.83527174330726,155.36169999999998,4.526428256692725,0.9708652244620604,104.78080874812348,104.95971131896279,0.11797953753887667,-1.0536578018532254,0.0
AX,Perfect Fitness Perfect Rip Deck,0.95,172.3490933042594,168.6556,-3.6934933042594196,1.0218996185377742,104.78080874812348,104.78744299318718,0.12204816912585181,-1.040938972758969,0.0
AX,Perfect Fitness Perfect Rip Deck,0.96,183.43830240987722,175.70159999999998,-7.736702409877239,1.0440331926964652,104.78080874812348,104.67672768245059,0.11877300034481884,-1.047773363896568,0.0
AX,Perfect Fitness Perfect Rip Deck,0.97,197.0710753503893,183.94979999999885,-13.121275350390448,1.0713307399648737,104.78080874812348,105.36787882203177,0.12045237680191843,-1.0487137815705818,0.0
AX,Perfect Fitness Perfect Rip Deck,0.98,215.19347182157992,193.44275,-21.75072182157993,1.1124400982801368,104.78080874812348,104.78648401773552,0.11868499683975595,-1.0537392608287446,0.0
AX,Perfect Fitness Perfect Rip Deck,0.99,243.75661167147697,209.05374999999998,-34.702861671476995,1.1659997090292664,104.78080874812348,104.77837461197237,0.10842998288543082,-1.0456577433442458,0.0
AX,Perfect Fitness Perfect Rip Deck,0.995,269.8974776229694,221.99845,-47.89902762296941,1.2157628921416768,104.78080874812348,104.8345804687585,0.10904344764910916,-1.0555128834951053,0.0
AX,Perfect Fitness Perfect Rip Deck,0.999,323.79704025984216,249.59370000000018,-74.20334025984198,1.297296527355626,104.78080874812348,105.30393417454844,0.10647997649073755,-1.0645138312523637,0.0
CZ,ENO Atlas Hammock Straps,0.8,3.5278012394182534,3.17485,-0.35295123941825324,1.111170996871743,4.191673283291302,4.167450762731695,1.2945939225126097,1.824508917244735,0.33035
CZ,ENO Atlas Hammock Straps,0.85,4.344390148652165,4.15365,-0.19074014865216515,1.0459210931715877,4.191673283291302,4.173333501306319,1.311389904443451,2.09784895438146,0.32645
CZ,ENO Atlas Hammock Straps,0.9,5.371845458453444,6.1579,0.7860545415465561,0.872350226287118,4.191673283291302,4.199243892948303,1.3392951148261572,2.0801585687925703,0.33015
CZ,ENO Atlas Hammock Straps,0.925,6.034045607189757,7.16375,1.1297043928102433,0.8423026497560295,4.191673283291302,4.179307271302673,1.3229813676631426,2.019325785003681,0.32475
CZ,ENO Atlas Hammock Straps,0.95,6.894689003017283,8.16315,1.268460996982717,0.8446113330046958,4.191673283291302,4.200537382670836,1.3664439549428191,2.2163834871388595,0.3281
CZ,ENO Atlas Hammock Straps,0.96,7.3383040322979305,9.1575,1.8191959677020701,0.8013436016705356,4.191673283291302,4.1863432758794605,1.2864058899939657,1.8376492243642657,0.3311
CZ,ENO Atlas Hammock Straps,0.97,7.883672318672647,10.1966,2.312927681327353,0.7731667731079622,4.191673283291302,4.164578685267129,1.3313442746098352,2.0793771712004654,0.32965
CZ,ENO Atlas Hammock Straps,0.98,8.608644439284026,11.21715,2.608505560715974,0.7674538041556034,4.191673283291302,4.159057677592158,1.312600840138202,1.827706020291429,0.33325
CZ,ENO Atlas Hammock Straps,0.99,9.751290231258512,13.18145,3.430159768741488,0.7397737146716418,4.191673283291302,4.179294105762494,1.3856246215953818,2.3430672452176156,0.32445
CZ,ENO Atlas Hammock Straps,0.995,10.797034874004767,15.1684,4.371365125995233,0.711811059439675,4.191673283291302,4.201228862630291,1.3256129733110749,1.9461794084062332,0.3304
CZ,ENO Atlas Hammock Straps,0.999,12.95324419692729,19.21875,6.26550580307271,0.6739899419539404,4.191673283291302,4.1484164334653375,1.3367716803522118,2.087839604201636,0.33215
