label,source,is_proxy,rows,mean_days,std_days,mean_weeks,std_weeks,coefficient_of_variation
First Class,outbound fulfilment time (Days for shipping (real)) used as a stated proxy for replenishment lead time; the extract contains no supplier or purchase order data; restricted to shipping mode First Class,True,25270,2.0,0.0,0.2857142857142857,0.0,0.0
Same Day,outbound fulfilment time (Days for shipping (real)) used as a stated proxy for replenishment lead time; the extract contains no supplier or purchase order data; restricted to shipping mode Same Day,True,8851,0.47712122923963396,0.49950450577598343,0.068160175605662,0.0713577865394262,1.0469131850871962
Second Class,outbound fulfilment time (Days for shipping (real)) used as a stated proxy for replenishment lead time; the extract contains no supplier or purchase order data; restricted to shipping mode Second Class,True,32188,3.9921088604448864,1.4141476069372527,0.5703012657778409,0.20202108670532182,0.3542357326347203
Standard Class,outbound fulfilment time (Days for shipping (real)) used as a stated proxy for replenishment lead time; the extract contains no supplier or purchase order data; restricted to shipping mode Standard Class,True,98263,3.9938735841568036,1.4187410036618897,0.5705533691652577,0.20267728623741282,0.35522932155135245
